ID,Filename,Objection,Annotation
{1&318},{benign (1)&benign (318)},,text
{2&319},{benign (2)&benign (319)},,overlay
{3&320},{benign (3)&benign (320)},,text
{4&321},{benign (4)&benign (321)},,text
{5&322},{benign (5)&benign (322)},,measurement
{6&323},{benign (6)&benign (323)},,measurement&doppler
{7&324},{benign (7)&benign (324)}
{8&325},{benign (8)&benign (325)}
{9&326},{benign (9)&benign (326)},,measurement
{10&327},{benign (10)&benign (327)}
{11&328},{benign (11)&benign (328)},,measurement
{12&329},{benign (12)&benign (329)}
{13&330},{benign (13)&benign (330)},,doppler
{14&331},{benign (14)&benign (331)},,measurement
{15&332},{benign (15)&benign (332)}
{16&151},{benign (16)&benign (151)}
{17&425},{benign (17)&benign (425)}
{18&152},{benign (18)&benign (152)}
{19&150},{benign (19)&benign (150)},,text
{20},{benign (20)}
{21&154},{benign (21)&benign (154)}
{22},{benign (22)},,measurement
{23},{benign (23)}
{24},{benign (24)}
{25&153},{benign (25)&benign (153)}
{26},{benign (26)}
{27},{benign (27)}
{28},{benign (28)}
{29},{benign (29)}
{30&128},{benign (30)&benign (128)}
{31},{benign (31)}
{32},{benign (32)}
{33&130},{benign (33)&benign (130)}
{34},{benign (34)},,text
{35&177},{benign (35)&benign (177)}
{36},{benign (36)}
{37&127},{benign (37)&benign (127)}
{38&132},{benign (38)&benign (132)}
{39},{benign (39)}
{40},{benign (40)}
{41},{benign (41)}
{42&131&488},{benign (42)&benign (131)&malignant (51)},multiclass
{43},{benign (43)}
{44&129},{benign (44)&benign (129)}
{45},{benign (45)}
{46},{benign (46)},,text
{47},{benign (47)}
{48},{benign (48)}
{49},{benign (49)}
{50&136},{benign (50)&benign (136)}
{51&133},{benign (51)&benign (133)}
{52&134},{benign (52)&benign (134)},,text
{53},{benign (53)}
{54},{benign (54)}
{55},{benign (55)}
{56},{benign (56)}
{57},{benign (57)}
{58&135},{benign (58)&benign (135)}
{59},{benign (59)}
{60&138},{benign (60)&benign (138)},,text
{61&94&108&114&116&119&122},{benign (61)&benign (94)&benign (108)&benign (114)&benign (116)&benign (119)&benign (122)}
{62&140},{benign (62)&benign (140)}
{63},{benign (63)}
{64&141},{benign (64)&benign (141)},,measurement
{65&99&139&157},{benign (65)&benign (99)&benign (139)&benign (157)}
{66},{benign (66)}
{67},{benign (67)}
{68},{benign (68)}
{69},{benign (69)}
{70},{benign (70)}
{71},{benign (71)}
{72},{benign (72)}
{73},{benign (73)}
{74},{benign (74)}
{75},{benign (75)}
{76},{benign (76)}
{77},{benign (77)}
{78},{benign (78)}
{79},{benign (79)},,measurement
{80},{benign (80)}
{81&197},{benign (81)&benign (197)}
{82},{benign (82)},,pictogram
{83},{benign (83)}
{84},{benign (84)}
{85&164&489},{benign (85)&benign (164)&malignant (52)},multiclass
{86&163},{benign (86)&benign (163)}
{87},{benign (87)}
{88},{benign (88)}
{89},{benign (89)}
{90},{benign (90)}
{91},{benign (91)}
{92},{benign (92)}
{93},{benign (93)}
{95},{benign (95)}
{96&155},{benign (96)&benign (155)}
{97},{benign (97)},,measurement
{98},{benign (98)}
{100},{benign (100)}
{101},{benign (101)}
{102},{benign (102)},,doppler
{103},{benign (103)}
{104},{benign (104)}
{105&156},{benign (105)&benign (156)}
{106},{benign (106)},axilla
{107},{benign (107)}
{109},{benign (109)}
{110&158},{benign (110)&benign (158)}
{111},{benign (111)}
{112},{benign (112)},,measurement
{113},{benign (113)}
{115},{benign (115)},,measurement
{117},{benign (117)}
{118},{benign (118)}
{120},{benign (120)}
